,wavenumber (cm^-1),Background Subtracted Integrated OD
0,17323.467575653656,0.008972037748318349
1,17323.467678007797,0.003584799865711863
2,17323.468340232594,0.0035595331775219946
3,17323.468368568865,0.0015495775846443441
4,17323.468476366776,0.00692729890817796
5,17323.468481853903,-9.064498066751938e-05
6,17323.468481853903,0.005397027092547937
7,17323.468481853903,0.0038168496014800357
8,17323.468481853903,0.0041283925239871035
9,17323.468481853903,0.0036564834266494158
10,17323.468481853903,0.0035547776377052253
11,17323.468485673213,0.0028310123801947654
12,17323.468502021187,0.006636290737036468
13,17323.46855917406,0.00785638038984052
14,17323.468791107847,0.006625848006692001
15,17323.468993251023,0.007839651139731453
16,17323.469023965605,0.014315338939786692
17,17323.469023965605,0.007553799351867981
18,17323.46922156564,0.0073638094957424426
19,17323.46929775168,0.0026116388277592564
20,17323.46937292702,0.007985278729041149
21,17323.46951226008,0.005051802463477514
22,17323.469529341895,0.0091142902916863
23,17323.46956262492,0.011266268028326039
24,17323.46956262492,0.01887398452077861
25,17323.469580183733,0.010488446449848744
26,17323.469609117084,0.010138235335766025
27,17323.469685199718,0.01801621392259658
28,17323.469685199718,0.019849799858002254
29,17323.46999860987,0.01962426851268614
30,17323.46999860987,0.01985991829428098
31,17323.46999860987,0.020771224840135827
32,17323.46999860987,0.019251114045967698
33,17323.46999860987,0.02331397666328566
34,17323.47002951125,0.016612574597865276
35,17323.470112198454,0.024398254947488755
36,17323.47055715294,0.027184047049890515
37,17323.470579531757,0.02333681100618569
38,17323.47065451363,0.021735725612250463
39,17323.47065451363,0.022823229469021995
40,17323.470756837753,0.02656737918389957
41,17323.470869475677,0.022189623781308114
42,17323.470908932974,0.020817437541208093
43,17323.470939790986,0.02668175389323759
44,17323.470939790986,0.029485909553607286
45,17323.47122092881,0.02594985896387903
46,17323.471252770843,0.023287442324464794
47,17323.471252770843,0.023969544455706905
48,17323.471284225936,0.022651614067203063
49,17323.471284225936,0.020512325905589653
50,17323.47133208571,0.025101993447374227
51,17323.47145780602,0.027280119910869958
52,17323.47150768386,0.021644007322444675
53,17323.471613563775,0.02482168987619648
54,17323.471649605373,0.026444256372689
55,17323.471673265078,0.027983209685113183
56,17323.471673265078,0.027322646979484493
57,17323.47197491376,0.02691143698733749
58,17323.47197491376,0.02118868913781253
59,17323.47198310943,0.02511248097087273
60,17323.47198310943,0.033281510642134936
61,17323.472023594102,0.023712447258325435
62,17323.472023594102,0.033431370006315665
63,17323.47210456345,0.032333740251309355
64,17323.47216878788,0.02816029708064583
65,17323.47216878788,0.028082922744833233
66,17323.472173414415,0.023319784929058666
67,17323.472209902993,0.027470506687249308
68,17323.472281335744,0.02820290568042707
69,17323.47245408525,0.027304850084338528
70,17323.472622164863,0.014991722145789955
71,17323.472675478413,0.021016741406425517
72,17323.472778269526,0.02166038493819151
73,17323.472778269526,0.025188162924801062
74,17323.472836539837,0.01642932151974185
75,17323.47285973922,0.012199677775534889
76,17323.472870239817,0.02750938259872925
77,17323.47292535795,0.016502274097683303
78,17323.472997858105,0.024556730792296803
79,17323.473065007893,0.015121361574759976
80,17323.473300941114,0.016381591187265853
81,17323.47341809216,0.015900138046414714
82,17323.473422038223,0.019321540929790368
83,17323.473526910773,0.021311832011918955
84,17323.47360938783,0.009187259394040472
85,17323.473623701066,0.012105129665008419
86,17323.473672348056,0.007768945030424858
87,17323.473863500294,0.012631263697418333
88,17323.474061577326,0.012172884407508572
89,17323.474114193727,0.010040754940711463
90,17323.474114193727,0.009121761058234108
91,17323.47421665461,0.007059886264253661
92,17323.474266102152,0.011401155434678917
93,17323.474362335393,0.010803243996738139
94,17323.474397709866,0.008540014849985404
95,17323.474432297127,0.008847588255893083
96,17323.47470633004,0.005164828539999451
97,17323.47470633004,0.007060661783457485
98,17323.474845809862,0.006817464421575906
99,17323.475022358667,0.008830177907090593
100,17323.475073300575,0.01229730055178573
101,17323.475156094522,0.008595106963196738
102,17323.475204494673,0.009364380383873081
103,17323.475266617646,0.009967699072008654
104,17323.475266617646,0.012200399881034194
105,17323.475300908038,0.007363266005377648
106,17323.475309197103,0.012003897824844657
107,17323.475574083688,0.012387709157959203
108,17323.47582691193,0.009506915723148587
109,17323.47583511427,0.01206857372177867
110,17323.47592551014,0.008299621427698169
111,17323.47592551014,0.012442482498291711
112,17323.476111425425,0.009864662655238153
113,17323.47615703698,0.009030584767314272
114,17323.47615703698,0.011271642987620477
115,17323.476399624804,0.00860891755070942
116,17323.476648053333,0.007372529641023971
117,17323.476649644435,0.014876649233450416
118,17323.476672486904,0.00813841337701841
119,17323.476672486904,0.013298326429931794
120,17323.476696193306,0.013546936355882997
121,17323.476868615922,0.012916377675899883
122,17323.47694624963,0.010450660291969914
123,17323.47702450043,0.013015108253860791
124,17323.477093391422,0.009985777617603303
125,17323.47716357331,0.011266420552077877
126,17323.477194254534,0.010985800841291405
127,17323.477264356363,0.010952735367534818
128,17323.477580024744,0.007688384313566951
129,17323.477728400725,0.011024378007919586
130,17323.477884452015,0.006482436165153127
131,17323.477884452015,0.011120577777867732
132,17323.477937888983,0.010027706409149982
133,17323.477951678524,0.00609149544380274
134,17323.477957996227,0.010497907374361105
135,17323.477957996227,0.01347835592876756
136,17323.47800396136,0.007655389011901466
137,17323.478246912768,0.004955029098585993
138,17323.478480147456,0.0038540082100532785
139,17323.47849385694,0.006010549157386502
140,17323.478498610228,0.008957605407987415
141,17323.478541236385,0.007769764564320539
142,17323.47876447749,0.0037030004871595667
143,17323.478826226878,0.0049027475783153
144,17323.478900064623,0.0053467758281462024
