,wavenumber (cm^-1),Unblocked Integrated OD
101,17323.475156094522,0.035969
102,17323.475204494673,0.042974
103,17323.475266617646,0.042164
104,17323.475266617646,0.044993
105,17323.475300908038,0.045092
106,17323.475309197103,0.049555
107,17323.475574083688,0.044042
108,17323.47582691193,0.037657
109,17323.47583511427,0.048314
110,17323.47592551014,0.039955
111,17323.47592551014,0.044745
112,17323.476111425425,0.037819
113,17323.47615703698,0.047382
114,17323.47615703698,0.051049
115,17323.476399624804,0.047483
116,17323.476648053333,0.047208
117,17323.476649644435,0.05327
118,17323.476672486904,0.048888
119,17323.476672486904,0.049463
120,17323.476696193306,0.04905
121,17323.476868615922,0.04928
122,17323.47694624963,0.046322
123,17323.47702450043,0.05525
124,17323.477093391422,0.048666
125,17323.47716357331,0.046085
126,17323.477194254534,0.048777
127,17323.477264356363,0.04787
128,17323.477580024744,0.040001
129,17323.477728400725,0.039468
130,17323.477884452015,0.035773
131,17323.477884452015,0.04192
132,17323.477937888983,0.040971
133,17323.477951678524,0.032766
134,17323.477957996227,0.044468
135,17323.477957996227,0.047799
136,17323.47800396136,0.033082
137,17323.478246912768,0.033568
138,17323.478480147456,0.032597
139,17323.47849385694,0.03326
140,17323.478498610228,0.028091
141,17323.478541236385,0.031665
142,17323.47876447749,0.019238
143,17323.478826226878,0.021483
144,17323.478900064623,0.025699
145,17323.479082677623,0.021315
146,17323.47922300804,0.025646
147,17323.47939038383,0.010421
148,17323.47939038383,0.018853
149,17323.47941588814,0.013558
150,17323.479524499948,0.006404
151,17323.479531137873,0.015906
152,17323.479603134347,0.011773
153,17323.47975939578,0.010274
154,17323.479822339326,0.022498
155,17323.479863818022,0.012466
156,17323.479909596357,0.01291
157,17323.480098760556,0.014254
158,17323.480098760556,0.015339
159,17323.48025223006,0.009432
160,17323.48026319765,0.005755
161,17323.48027282431,0.006712
162,17323.4803920201,0.006328
163,17323.480717848845,0.007099
164,17323.480798037654,0.005067
165,17323.480857678915,0.006559
166,17323.48091956506,0.0083
167,17323.48098249193,0.005239
168,17323.48106142987,0.006236
169,17323.48111276205,0.002484
170,17323.48111276205,0.004962
171,17323.48116414426,0.006687
172,17323.481530948022,0.004825
173,17323.481548500164,0.002445
174,17323.481548500164,0.005309
175,17323.48163618749,0.006013
176,17323.481779496633,0.00513
177,17323.481799894078,0.005095
178,17323.481799894078,0.006639
179,17323.481949320787,0.005458
180,17323.48201046642,0.01055
181,17323.482096098996,0.004625
182,17323.482142854675,0.006818
183,17323.482284666115,0.010529
184,17323.48233918383,0.013349
185,17323.482469183764,0.014408
186,17323.482551170484,0.009377
187,17323.48258990061,0.010526
188,17323.482677521228,0.013725
189,17323.482677521228,0.015047
190,17323.482770909166,0.010459
191,17323.48290764376,0.020414
192,17323.482929141966,0.010835
193,17323.482929141966,0.015714
194,17323.48300783307,0.016962
195,17323.483197644386,0.024778
196,17323.483386598436,0.028697
197,17323.4836003363,0.033695
198,17323.483714918904,0.029589
199,17323.483750446816,0.027509
200,17323.48385886182,0.029976
201,17323.48396245682,0.037286
202,17323.484000880067,0.031304
203,17323.48414992985,0.047628
204,17323.484152711775,0.066364
205,17323.484160774016,0.040299
206,17323.48418640842,0.039046
207,17323.48418640842,0.042649
208,17323.484199364048,0.057325
209,17323.484199364048,0.061554
210,17323.484340978684,0.059488
211,17323.48445367665,0.045592
212,17323.484681197384,0.059417
213,17323.484681197384,0.073863
214,17323.484707192034,0.097906
215,17323.485041966967,0.075087
